"";"PR_GHI";"PR_GHI_pdf_percentage_above"
"494";44,93;99,9977972484096
"495";44,94;99,9977972484096
"496";44,95;99,9977972484096
"497";44,96;99,9977972484096
"498";44,97;99,9977972484096
"499";44,98;99,9977972484096
"500";44,99;99,9977972484096
"501";45;99,9977972484096
"502";45,01;99,9977972484096
"503";45,02;99,9977972484096
"504";45,03;99,9977972484096
"505";45,04;99,9977972484096
"506";45,05;99,9977972484096
"507";45,06;99,9977972484096
"508";45,07;99,9977972484096
"509";45,08;99,9977972484096
"510";45,09;99,9977972484096
"511";45,1;99,9977972484096
"512";45,11;99,9977972484096
"513";45,12;99,9977972484096
"514";45,13;99,9977972484096
"515";45,14;99,9977972484096
"516";45,15;99,9977972484096
"517";45,16;99,9977972484096
"518";45,17;99,9977972484096
"519";45,18;99,9977972484096
"520";45,19;99,9977972484096
"521";45,2;99,9977972484096
"522";45,21;99,9977972484096
"523";45,22;99,9977972484096
"524";45,23;99,9977972484096
"525";45,24;99,9977972484096
"526";45,25;99,9977972484096
"527";45,26;99,9977972484096
"528";45,27;99,9977972484096
"529";45,28;99,9977972484096
"530";45,29;99,9977972484096
"531";45,3;99,9977972484096
"532";45,31;99,9977972484096
"533";45,32;99,9977972484096
"534";45,33;99,9977972484096
"535";45,34;99,9977972484096
"536";45,35;99,9977972484096
"537";45,36;99,9977972484096
"538";45,37;99,9977972484096
"539";45,38;99,9977972484096
"540";45,39;99,9977972484096
"541";45,4;99,9977972484096
"542";45,41;99,9977972484096
"543";45,42;99,9977972484096
"544";45,43;99,9977972484096
"545";45,44;99,9977972484096
"546";45,45;99,9977972484096
"547";45,46;99,9977972484096
"548";45,47;99,9977972484096
"549";45,48;99,9977972484096
"550";45,49;99,9977972484096
"551";45,5;99,9977972484096
"552";45,51;99,9977972484096
"553";45,52;99,9977972484096
"554";45,53;99,9977972484096
"555";45,54;99,9977972484096
"556";45,55;99,9977972484096
"557";45,56;99,9977972484096
"558";45,57;99,9977972484096
"559";45,58;99,9977972484096
"560";45,59;99,9977972484096
"561";45,6;99,9977972484096
"562";45,61;99,9977972484096
"563";45,62;99,9977972484096
"564";45,63;99,9977972484096
"565";45,64;99,9977972484096
"566";45,65;99,9977972484096
"567";45,66;99,9977972484096
"568";45,67;99,9977972484096
"569";45,68;99,9977972484096
"570";45,69;99,9977972484096
"571";45,7;99,9977972484096
"572";45,71;99,9977972484096
"573";45,72;99,9977972484096
"574";45,73;99,9977972484096
"575";45,74;99,9977972484096
"576";45,75;99,9977972484096
"577";45,76;99,9977972484096
"578";45,77;99,9977972484096
"579";45,78;99,9977972484096
"580";45,79;99,9977972484096
"581";45,8;99,9977972484096
"582";45,81;99,9977972484096
"583";45,82;99,9977972484096
"584";45,83;99,9977972484096
"585";45,84;99,9977972484096
"586";45,85;99,9977972484096
"587";45,86;99,9977972484096
"588";45,87;99,9977972484096
"589";45,88;99,9977972484096
"590";45,89;99,9977972484096
"591";45,9;99,9977972484096
"592";45,91;99,9977972484096
"593";45,92;99,9977972484096
"594";45,93;99,9977972484096
"595";45,94;99,9977972484096
"596";45,95;99,9977972484096
"597";45,96;99,9977972484096
"598";45,97;99,9977972484096
"599";45,98;99,9977972484096
"600";45,99;99,9977972484096
"601";46;99,9977972484096
"602";46,01;99,9977972484096
"603";46,02;99,9977972484096
"604";46,03;99,9977972484096
"605";46,04;99,9977972484096
"606";46,05;99,9977972484096
"607";46,06;99,9977972484096
"608";46,07;99,9977972484096
"609";46,08;99,9977972484096
"610";46,09;99,9977972484096
"611";46,1;99,9977972484096
"612";46,11;99,9977972484096
"613";46,12;99,9977972484096
"614";46,13;99,9977972484096
"615";46,14;99,9977972484096
"616";46,15;99,9977972484096
"617";46,16;99,9977972484096
"618";46,17;99,9977972484096
"619";46,18;99,9977972484096
"620";46,19;99,9977972484096
"621";46,2;99,9977972484096
"622";46,21;99,9977972484096
"623";46,22;99,9977972484096
"624";46,23;99,9977972484096
"625";46,24;99,9977972484096
"626";46,25;99,9977972484096
"627";46,26;99,9977972484096
"628";46,27;99,9977972484096
"629";46,28;99,9977972484096
"630";46,29;99,9977972484096
"631";46,3;99,9977972484096
"632";46,31;99,9977972484096
"633";46,32;99,9977972484096
"634";46,33;99,9977972484096
"635";46,34;99,9977972484096
"636";46,35;99,9977972484096
"637";46,36;99,9977972484096
"638";46,37;99,9977972484096
"639";46,38;99,9977972484096
"640";46,39;99,9977972484096
"641";46,4;99,9977972484096
